[ 2025-01-24 12:44:32,483 ] 132 root - INFO - Starting unified mapping embedding generation...
[ 2025-01-24 12:44:43,174 ] 66 sentence_transformers.SentenceTransformer - INFO - Load pretrained SentenceTransformer: all-MiniLM-L6-v2
[ 2025-01-24 12:44:46,487 ] 105 sentence_transformers.SentenceTransformer - INFO - Use pytorch device: cpu
[ 2025-01-24 12:44:46,487 ] 20 root - INFO - Generating embeddings for unified mapping.
[ 2025-01-24 12:44:46,759 ] 33 root - INFO - Processing table: example_table.csv with 2 rows.
[ 2025-01-24 12:44:46,806 ] 46 root - INFO - Generated 3 embeddings for unified mapping.
[ 2025-01-24 12:44:46,807 ] 54 root - INFO - Storing embeddings in the vector database.
[ 2025-01-24 12:44:46,807 ] 59 root - INFO - Loading existing vector database.
[ 2025-01-24 12:44:46,817 ] 66 root - INFO - Embeddings stored successfully.
[ 2025-01-24 12:44:46,822 ] 78 root - INFO - FAISS index vectors: 65
[ 2025-01-24 12:44:46,822 ] 79 root - INFO - Unified mapping entries (text + table): 65
[ 2025-01-24 12:44:46,822 ] 83 root - INFO - FAISS vectors and metadata entries are synchronized.
[ 2025-01-24 12:44:46,825 ] 90 root - INFO - Validating vector and metadata counts...
[ 2025-01-24 12:44:46,872 ] 107 root - INFO - FAISS index vectors: 65
[ 2025-01-24 12:44:46,873 ] 108 root - INFO - Unified mapping entries (text + table): 65
[ 2025-01-24 12:44:46,873 ] 113 root - INFO - FAISS vectors and metadata entries are synchronized.
[ 2025-01-24 12:44:46,873 ] 154 root - INFO - Validation completed successfully. FAISS vectors and metadata entries are synchronized.
