0,1,2,3,4,5,6,7
,,upon initial,,designated upon,,,
,,recognition,,initial recognition,,,
Assets:,,,,,,,
Cash and cash equivalents (Refer to Note 2.8),"14,786",—,—,—,—,"14,786","14,786"
Investments (Refer to Note 2.4),,,,,,,
Equity and preference securities,—,—,—,206,—,206,206
Tax free bonds and government bonds,"1,759",—,—,—,—,"1,759","1,973   (1)"
Liquid mutual fund units,—,—,"2,615",—,—,"2,615","2,615"
Target maturity fund units,—,—,431,—,—,431,431
Non convertible debentures,—,—,—,—,"4,179","4,179","4,179"
Government securities,—,—,—,—,"7,362","7,362","7,362"
Commercial papers,—,—,—,—,"4,830","4,830","4,830"
Certificates of deposit,—,—,—,—,"3,043","3,043","3,043"
Other investments,—,—,198,—,—,198,198
Trade receivables (Refer to Note 2.7),"30,193",—,—,—,—,"30,193","30,193"
Loans (Refer to Note 2.5),282,—,—,—,—,282,282
Other financials assets (Refer to Note 2.6) (3),"15,106",—,61,—,23,"15,190","15,106   (2)"
Total,"62,126",—,"3,305",206,"19,437","85,074","85,204"
Liabilities:,,,,,,,
Trade payables,"3,956",—,—,—,—,"3,956","3,956"
Lease liabilities (Refer to Note 2.19),"8,359",—,—,—,—,"8,359","8,359"
"Financial Liability
under
option
arrangements",—,—,597,—,—,597,597
(Refer to Note 2.12),,,,,,,
Other financial liabilities (Refer to Note 2.12),"15,750",—,30,—,1,"15,781","15,781"
Total,"28,065",—,627,—,1,"28,693","28,693"
