0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,reserve (2),,income,statements of a,,,Company,,
,,,,,,,,,,,foreign operation,,,,,
"Balance as at April 1, 2023","2,069",54,169,166,"58,957","1,054",878,"10,014",19,247,"2,325",(5)                    (540),,"75,407",388,"75,795"
"Changes in equity for the year ended March 31, 2024",,,,,,,,,,,,,,,,
Profit for the period,—,—,—,—,"26,233",—,—,—,—,—,—,—,—,"26,233",15,"26,248"
"Remeasurement of the net defined benefit liability/asset, net*",—,—,—,—,—,—,—,—,—,—,—,—,120,120,—,120
"Equity instruments through other comprehensive income, net*",—,—,—,—,—,—,—,—,—,19,—,—,—,19,—,19
"Fair value changes on derivatives designated as cash flow hedge, net*",—,—,—,—,—,—,—,—,—,—,—,11,—,11,—,11
Exchange differences on translation of foreign operations,—,—,—,—,—,—,—,—,—,—,227,—,—,227                   (1),,226
"Fair value changes on investments, net*",—,—,—,—,—,—,—,—,—,—,—,—,144,144,—,144
Total Comprehensive income for the period,—,—,—,—,"26,233",—,—,—,—,19,227,11,264,"26,754",14,"26,768"
Shares issued on exercise of employee stock options (Refer to Note,,,,,,,,,,,,,,,,
,2,—,—,3,—,—,—,—,—,—,—,—,—,5,—,5
2.11),,,,,,,,,,,,,,,,
Employee stock compensation expense (Refer to Note 2.11),—,—,—,—,—,—,639,—,—,—,—,—,—,639,—,639
Transferred on account of exercise of stock options (Refer to note,,,,,,,,,,,,,,,,
