Deferred Contract Cost,Unnamed: 1,Unnamed: 0,"35,199","145,285","137,575",Unnamed: 2
,,"Revenue from products and platforms 1,859 2,242 8,385 9,192",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"Particulars Category of ROU asset
Total
Land Buildings Vehicles Computers",,,,
,,"Balance as of April 1, 2023 623 3,896 15 2,348 6,882",,,,
,"— 394 12 1,872",Additions*,,,,"2,278"
,,Deletions (10) (181) (1) (755) (947),,,,
,— (88) — —,Impairment #,,,,(88)
,,"Depreciation (6) (728) (10) (851) (1,595)",,,,
,(2) 5 1 18,Translation difference,,,,22
,,"Balance as of March 31, 2024 605 3,298 17 2,632 6,552",,,,
