0,1,2
,"March 31, 2024","March 31, 2023"
Non-current,,
Others,,
Accrued compensation to employees (1),7,5
Accrued expenses (1),"1,779","1,628"
Compensated absences,89,83
Financial liability under option arrangements (2) #,98,—
Other Payables (1)(4),157,342
Total non-current other financial liabilities,"2,130","2,058"
Current,,
Unpaid dividends (1),37,37
Others,,
Accrued compensation to employees (1),"4,454","4,174"
Accrued expenses (1),"8,224","7,802"
Payable for acquisition of business - Contingent consideration (2),—,97
Payable by controlled trusts (1),211,211
Compensated absences,"2,622","2,399"
Financial liability under option arrangements (2) #,499,600
Foreign currency forward and options contracts (2) (3),31,78
Capital creditors (1),310,674
Other payables (1)(4),571,"2,486"
Total current other financial liabilities,"16,959","18,558"
Total other financial liabilities,"19,089","20,616"
(1) Financial liability carried at amortized cost,"15,750","17,359"
(2) Financial liability carried at fair value through profit or loss,627,761
(3) Financial liability carried at fair value through other comprehensive income,1,14
Financial liability under option arrangements on an undiscounted basis,690,676
Contingent consideration on undiscounted basis,—,101
